index,Video_Id,Video_Title,Comments
0,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),This is so lazy....really bad
1,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Did she diss ice spice? Why they show her wig
2,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"""This time, it's cooler"" Funny Boosie"
3,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Good afternoon 2:41 2:45
4,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),3h later I’m still here.😂
5,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Them baby phat jackets was fire tho 🔥
6,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Another D.W.I approaching
7,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Sexy CAn rap
8,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"Glorilla continues to release incredible music! Sexy Red also appeared in HAM! After they discovered the SHORT on my channel describing how all of those artists are currently becoming so successful, they both significantly advanced in their professions."
9,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),They looking like snacks
10,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Can’t front this 💩 is fiyah 🔥
11,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),“It’s colder this time “ lol 😂 🧴
12,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I like this song but I hate how she says hair
13,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),They energy ain't mesh ...it's 🔥tho Boosie should've slid
14,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Glorilla she's a real genious
15,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Boosie wasn’t playing bout that check this time he said lemme be in the video too this song legally mine lol
16,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),lol boosie should’ve jumped on this 💞
17,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),CLAP CLAP CLAP CLAP
18,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),When bitches from M town harder than most men from the rest of the country and Tennessee see you St. Louis
19,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),RED LOOKIN LIKE A MAN
20,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I see the Boosie fade!
21,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),This is sick
22,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I’ve done watched this video like 15 times😂
23,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I adore the slender and natural-looking women!
24,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),She should have put gloss on here
25,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),shout out to rod i am writting my exams and is my last lap thanks ROD😇😇
26,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),White Laura Thomas Brenda Williams George
27,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Brought tears to my eyes , i miss my mama so much man it’s only been 5 months seem like yesterday me and her was just chilling i can’t believe it.. They told me it’ll be okay and to get over it , bruh took the words out my mouth im not ready to let go of my nigga 💜🕊‼️"
28,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Day 5 I've had this on repeat since it came out didn't know this would be the one to be honest, just hearing him talk about his past his unlce and his troubles and pain makes me feel his pain and mine too.
One of the realest songs and probably the best of the album."
29,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Every step I take
30,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Amen 🙏
31,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Best song on the album don’t argue with me
32,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"I lost my Gram & 2 friends of mine in August. I’m so broken, this song really hit home. This album is really getting me through the bad days. ❤️‍🩹"
33,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),man i just lost my grandma nd this shit hurt bruh i appreciate you rod💯
34,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),This song made mi tear up keep goin rod ik what u feeling💔
35,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Rest easy Shannon rest easy to my uncles 💔 rest easy to all
My friends in the dirt 🥺😔 n rest easy Christian morreti 🤞❤️💯"
36,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Shit so fire 🔥 give me 10k likes I’ll listen to it 10k times
