,Video_Id,Video_Title,Comments,Label
0,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),This is so lazy....really bad,0
1,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Did she diss ice spice? Why they show her wig,0
2,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"""This time, it's cooler"" Funny Boosie",0
3,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Good afternoon 2:41 2:45,0
4,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),3h later I_ still here._,0
5,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Them baby phat jackets was fire tho _,0
6,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Another D.W.I approaching,0
7,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Sexy CAn rap,0
8,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"Glorilla continues to release incredible music! Sexy Red also appeared in HAM! After they discovered the SHORT on my channel describing how all of those artists are currently becoming so successful, they both significantly advanced in their professions.",0
9,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),They looking like snacks,0
10,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Can_ front this _ is fiyah _,0
11,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),_t_ colder this time  lol _ 妥,0
12,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I like this song but I hate how she says hair,0
13,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),They energy ain't mesh ...it's _tho Boosie should've slid,0
14,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Glorilla she's a real genious,0
15,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),Boosie wasn_ playing bout that check this time he said lemme be in the video too this song legally mine lol,0
16,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),lol boosie should_e jumped on this _,0
17,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),CLAP CLAP CLAP CLAP,0
18,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),When bitches from M town harder than most men from the rest of the country and Tennessee see you St. Louis,0
19,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),RED LOOKIN LIKE A MAN,0
20,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I see the Boosie fade!,0
21,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),This is sick,0
22,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I_e done watched this video like 15 times_,0
23,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),I adore the slender and natural-looking women!,0
24,Py9S2bD0RZQ,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),She should have put gloss on here,0
25,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),shout out to rod i am writting my exams and is my last lap thanks ROD__,0
26,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),White Laura Thomas Brenda Williams George,0
27,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Brought tears to my eyes , i miss my mama so much man it_ only been 5 months seem like yesterday me and her was just chilling i can_ believe it.. They told me it_l be okay and to get over it , bruh took the words out my mouth im not ready to let go of my nigga __潘_",0
28,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Day 5 I've had this on repeat since it came out didn't know this would be the one to be honest, just hearing him talk about his past his unlce and his troubles and pain makes me feel his pain and mine too. 
One of the realest songs and probably the best of the album.",0
29,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Every step I take,0
30,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Amen _,0
31,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Best song on the album don_ argue with me,0
32,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"I lost my Gram & 2 friends of mine in August. I_ so broken, this song really hit home. This album is really getting me through the bad days. 歹___",0
33,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),man i just lost my grandma nd this shit hurt bruh i appreciate you rod_,0
34,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),This song made mi tear up keep goin rod ik what u feeling_,0
35,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Rest easy Shannon rest easy to my uncles _ rest easy to all
My friends in the dirt _ n rest easy Christian morreti _歹__",0
36,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Shit so fire _ give me 10k likes I_l listen to it 10k times,0
37,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Best song on the Album.,0
38,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),This is for u momma 必_Love u wave,0
39,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),I felt every lyric bro ts hit DEEP _,0
40,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),Thank You So MUCH,0
41,k-z52Y1MoSY,Rod Wave - Last Lap (Official Audio),"Did you take Maverick City Music sample and didn't give them credit for their song, big boy???",0
